"lat" "lng" "bearing" "speed" "user_id" "time" "wday" "got_wifi" "time_to_wifi"
"1033" 40.3488 -74.6526 348.44 0.9375 3 42211.0539999008 5 TRUE 0
"1036" 40.3495 -74.6531 359.66 0.625 3 70585.2460000515 3 TRUE 0
"1037" 40.3495 -74.6534 238.48 1.25 3 76946.3840000629 3 TRUE 180
"1039" 40.3465 -74.6582 56.8 0.6875 3 9511.18099999428 4 TRUE 0
"1048" 40.3464 -74.6582 0 0.375 3 867.21799993515 5 TRUE 60
"1049" 40.3463 -74.6581 0 0.3125 3 1465.70799994469 5 TRUE 0
"1050" 40.3463 -74.658 5.8 1.6875 3 3326.88899993896 5 TRUE 0
"1052" 40.3464 -74.658 3.32 0.6875 3 8966.9470000267 5 TRUE 0
"1057" 40.3462 -74.658 1.62 0.875 3 14007.1040000916 5 TRUE 0
"1058" 40.3463 -74.6581 3.42 2.25 3 14427.2090001106 5 TRUE 0
"1067" 40.3464 -74.6582 1.69 0.125 3 26967.6540000439 5 TRUE 0
"1068" 40.3501 -74.653 0 0.3125 3 29127.1449999809 5 TRUE 0
"1072" 40.3488 -74.6527 283.73 1.0625 3 39987.3389999866 5 TRUE 0
"1073" 40.3488 -74.6526 0 0.125 3 40283.9530000687 5 TRUE 0
"1074" 40.3488 -74.6527 1.66 1.0625 3 42265.1270000935 5 TRUE 0
"1076" 40.3469 -74.6548 0 0 2 36393.4330000877 2 TRUE 0
"1079" 40.3497 -74.6531 0 0.4375 3 70645.8059999943 3 TRUE 0
"1080" 40.3491 -74.6544 229.17 1.25 3 77003.5130000114 3 TRUE 120
"1082" 40.3465 -74.6581 18.96 0.6875 3 9572.51999998093 4 TRUE 0
"1093" 40.347 -74.6565 252.24 2.5625 3 81086.5439999104 4 TRUE 60
"1094" 40.3463 -74.6581 357.68 0.5625 3 1108.29600000381 5 TRUE 0
"1098" 40.3463 -74.6582 328.78 1.1875 3 9513.93099999428 5 TRUE 120
"1100" 40.3463 -74.6582 1.41 0.4375 3 12627.25 5 TRUE 0
"1102" 40.3463 -74.658 12.86 0.6875 3 14069.9489998817 5 TRUE 0
"1107" 40.3464 -74.6582 1.07 0.5 3 19530.7109999657 5 TRUE 0
"1111" 40.3465 -74.6583 216.97 0.375 3 24931.2829999924 5 TRUE 0
"1116" 40.3488 -74.6527 0 0 3 40043.9309999943 5 TRUE 0
"1117" 40.3487 -74.6527 359.45 0.5 3 42329.378000021 5 TRUE 0
"1119" 40.347 -74.655 0 0 2 36463.0710000992 2 TRUE 0
"1120" 40.3487 -74.6551 239.63 1 3 77062.7890000343 3 TRUE 60
"1129" 40.3499 -74.653 328.17 0.9375 3 61470.5690000057 4 TRUE 0
"1136" 40.3463 -74.6581 13.37 0.8125 3 1529.51699995995 5 TRUE 0
"1137" 40.3464 -74.658 3.38 0.875 3 3927.23900008202 5 TRUE 0
"1143" 40.3463 -74.6582 2.7 0.5625 3 12690.3559999466 5 TRUE 0
"1150" 40.3464 -74.6582 2.62 0.6875 3 19589.4479999542 5 TRUE 0
"1156" 40.35 -74.6528 359.01 0.6875 3 29551.128000021 5 TRUE 0
"1159" 40.3487 -74.6528 4.53 0.25 3 42386.9309999943 5 TRUE 0
"1160" 40.347 -74.6606 0 0 2 36029.5980000496 2 TRUE 60
"1162" 40.3488 -74.6584 3.58 0.4375 3 62848.6700000763 3 TRUE 0
"1164" 40.3484 -74.6557 348.5 1.5625 3 77127.3250000477 3 TRUE 0
"1165" 40.3465 -74.6582 20.89 2.5 3 2426.78200006485 4 TRUE 0
"1172" 40.3499 -74.6531 349.49 0.9375 3 61529.2239999771 4 TRUE 0
"1177" 40.3463 -74.658 0.09 0.5 3 1168.73699998856 5 TRUE 0
"1178" 40.3463 -74.6581 0 0.4375 3 1588.61599993706 5 TRUE 0
"1179" 40.3462 -74.6579 359.81 0.75 3 3386.42499995232 5 TRUE 0
"1186" 40.3464 -74.6582 342.08 2 3 13108.3450000286 5 TRUE 0
"1188" 40.3464 -74.6582 0 0.5 3 14607.4749999046 5 TRUE 0
"1189" 40.3463 -74.6582 7.22 1.0625 3 16406.9249999523 5 TRUE 0
"1190" 40.3463 -74.6583 39.02 1.1875 3 17490.4089999199 5 TRUE 0
"1192" 40.3464 -74.6582 0.28 0.625 3 19647.2839999199 5 TRUE 0
"1195" 40.3463 -74.658 207.88 0.8125 3 24632.3710000515 5 TRUE 0
"1197" 40.3463 -74.6583 18.76 1.4375 3 26190.9879999161 5 TRUE 0
"1202" 40.3486 -74.6528 1.13 0.25 3 42447.3389999866 5 TRUE 0
"1203" 40.3468 -74.6596 0 0 2 36092.6480000019 2 TRUE 0
"1205" 40.3491 -74.6578 2.03 1.1875 3 62906.0490000248 3 TRUE 0
"1211" 40.3464 -74.6583 350.64 0.3125 3 26671.7860000134 4 TRUE 0
"1212" 40.35 -74.6528 0 0.375 3 60386.1570000648 4 TRUE 0
"1213" 40.3499 -74.6529 1.41 0.8125 3 61586.0480000973 4 TRUE 0
"1222" 40.3464 -74.658 4.4 1.3125 3 988.740000009537 5 TRUE 0
"1227" 40.3464 -74.6579 349.78 1.0625 3 5610.36800003052 5 TRUE 0
"1229" 40.3464 -74.6582 353.93 0.75 3 9692.34999990463 5 TRUE 60
"1234" 40.3463 -74.6581 11.95 0.5 3 14251.4909999371 5 TRUE 0
"1235" 40.3463 -74.6582 0 0.3125 3 14667.4159998894 5 TRUE 0
"1236" 40.3464 -74.6582 0 0.4375 3 16465.5529999733 5 TRUE 0
"1238" 40.3463 -74.6582 0 0.4375 3 18929.5720000267 5 TRUE 0
"1239" 40.3464 -74.6581 2.08 1.3125 3 19707.4820001125 5 TRUE 0
"1249" 40.3486 -74.6528 0 0.125 3 42507.4130001068 5 TRUE 0
"1250" 40.3464 -74.6585 0 0 2 36152.6840000153 2 TRUE 180
"1251" 40.3472 -74.6549 0 0 2 36626.5910000801 2 TRUE 0
"1256" 40.3483 -74.6553 87.85 1.25 3 44675.5799999237 3 TRUE 0
"1257" 40.3486 -74.6538 356.22 1.25 3 44856.1970000267 3 TRUE 0
"1262" 40.3482 -74.6597 21.93 1.5 3 62726.6610000134 3 TRUE 0
"1263" 40.3484 -74.6561 26.04 0.75 3 62969.0280001163 3 TRUE 360
"1274" 40.348 -74.6573 346.24 0.625 3 77249.0729999542 3 TRUE 0
"1279" 40.3464 -74.658 359.65 1.0625 3 5369.09500002861 4 TRUE 0
"1281" 40.3462 -74.658 15.18 0.8125 3 6331.96799993515 4 TRUE 0
"1283" 40.3464 -74.6581 3.12 1.4375 3 6866.88400006294 4 TRUE 0
"1286" 40.3463 -74.6581 355.7 1.5625 3 8866.17100000381 4 TRUE 0
"1289" 40.3464 -74.6582 28.24 1.8125 3 15327.6440000534 4 TRUE 0
"1290" 40.3463 -74.6581 347.81 1 3 15509.9990000725 4 TRUE 0
"1298" 40.3464 -74.6581 359.79 0.1875 3 21507.7039999962 4 TRUE 0
"1304" 40.35 -74.6528 0 0.3125 3 60446.9309999943 4 TRUE 0
"1305" 40.3499 -74.6529 358.98 0.875 3 61647.1540000439 4 TRUE 0
"1308" 40.3501 -74.6529 9.1 1.25 3 69026.2520000935 4 TRUE 0
"1318" 40.3463 -74.6579 229.11 0.125 3 85658.7620000839 4 TRUE 0
"1319" 40.3464 -74.658 24.04 0.5 3 1051.63400006294 5 TRUE 0
"1320" 40.3464 -74.658 1.52 0.4375 3 1227.65199995041 5 TRUE 0
"1321" 40.3463 -74.6581 359.19 0.5625 3 1707.92899990082 5 TRUE 60
"1325" 40.3463 -74.658 355.31 1.4375 3 3448.42700004578 5 TRUE 0
"1330" 40.3465 -74.6582 332.91 1.375 3 5674.51699995995 5 TRUE 0
"1335" 40.3464 -74.6581 26.94 0.3125 3 7355.63100004196 5 TRUE 60
"1341" 40.3463 -74.6584 0 0.1875 3 12747.1919999123 5 TRUE 0
"1343" 40.3462 -74.6582 21.95 0.375 3 14311.8849999905 5 TRUE 0
"1344" 40.3463 -74.6582 5.34 1.6875 3 14727.5710000992 5 TRUE 0
"1345" 40.3464 -74.6581 0 0.25 3 15266.5999999046 5 TRUE 0
"1346" 40.3463 -74.6582 0.45 0.375 3 15750.128000021 5 TRUE 0
"1354" 40.3464 -74.658 16.81 1.875 3 24747.8320000172 5 TRUE 0
"1359" 40.3464 -74.6583 350.14 1.75 3 27030.5469999313 5 TRUE 0
"1369" 40.3487 -74.6526 0 0.6875 3 40343.9609999657 5 TRUE 0
"1370" 40.3488 -74.6526 0 0.4375 3 41907.3770000935 5 TRUE 0
